iter	Passed	Remaining
0	96	96256
1	226	113096
2	352	117251
3	401	99868
4	524	104423
5	760	126025
6	891	126488
7	1053	130640
8	1209	133219
9	1374	136074
10	1471	132338
11	1544	127176
12	1650	125323
13	1776	125109
14	1904	125037
15	2019	124227
16	2201	127287
17	2270	123845
18	2374	122600
19	2394	117309
20	2414	112564
21	2435	108275
22	2456	104334
23	2473	100598
24	2487	97030
25	2501	93707
26	2517	90714
27	2534	87967
28	2550	85409
29	2571	83148
30	2587	80874
31	2604	78799
32	2621	76823
33	2639	75006
34	2664	73464
35	2923	78289
36	3022	78657
37	3147	79680
38	3287	81000
39	3346	80307
40	3366	78731
41	3385	77212
42	3404	75767
43	3421	74343
44	3438	72978
45	3548	73583
46	3620	73403
47	3639	72187
48	3692	71661
49	3825	72681
50	3947	73460
51	4012	73156
52	4034	72085
53	4050	70959
54	4066	69861
55	4080	68781
56	4092	67702
57	4105	66671
58	4115	65636
59	4133	64765
60	4151	63904
61	4166	63028
62	4181	62186
63	4196	61378
64	4211	60583
65	4227	59824
66	4239	59043
67	4252	58289
68	4267	57574
69	4282	56889
70	4315	56470
71	4432	57130
72	4550	57785
73	4706	58898
74	4824	59506
75	4935	60006
76	4959	59453
77	4975	58815
78	4994	58223
79	5011	57634
80	5031	57082
81	5044	56478
82	5090	56238
83	5223	56955
84	5336	57440
85	5373	57111
86	5387	56541
87	5405	56018
88	5419	55477
89	5434	54944
90	5447	54413
91	5464	53930
92	5480	53454
93	5592	53904
94	5679	54107
95	5706	53738
96	5727	53318
97	5747	52896
98	5766	52483
99	5783	52049
100	5797	51606
101	5815	51198
102	5834	50812
103	5851	50410
104	5870	50042
105	5890	49679
106	5997	50057
107	6074	50170
108	6190	50606
109	6274	50770
110	6348	50848
111	6459	51217
112	6559	51488
113	6582	51158
114	6601	50802
115	6621	50459
116	6642	50129
117	6661	49793
118	6681	49463
119	6702	49150
120	6721	48830
121	6742	48522
122	6761	48210
123	6780	47900
124	6798	47592
125	6924	48032
126	7018	48245
127	7117	48486
128	7251	48964
129	7297	48839
130	7311	48501
131	7329	48194
132	7346	47893
133	7386	47738
134	7477	47913
135	7491	47591
136	7503	47268
137	7514	46941
138	7522	46596
139	7533	46276
140	7542	45953
141	7550	45623
142	7559	45302
143	7569	44997
144	7577	44681
145	7586	44376
146	7667	44492
147	7778	44777
148	7888	45054
149	7990	45281
150	8062	45332
151	8117	45287
152	8136	45045
153	8155	44802
154	8175	44568
155	8196	44344
156	8210	44085
157	8224	43827
158	8236	43567
159	8250	43316
160	8267	43085
161	8285	42860
162	8301	42627
163	8311	42370
164	8324	42124
165	8338	41892
166	8352	41661
167	8367	41439
168	8383	41222
169	8398	41002
170	8413	40788
171	8429	40576
172	8444	40365
173	8459	40157
174	8472	39940
175	8486	39734
176	8503	39538
177	8519	39344
178	8534	39144
179	8549	38947
180	8565	38759
181	8580	38564
182	8598	38388
183	8613	38200
184	8629	38015
185	8642	37821
186	8650	37610
187	8755	37814
188	8819	37842
189	8934	38087
190	9053	38347
191	9149	38502
192	9254	38695
193	9378	38962
194	9455	39032
195	9554	39192
196	9641	39299
197	9724	39387
198	9813	39499
199	9945	39780
200	10077	40059
201	10145	40079
202	10234	40180
203	10327	40296
204	10431	40454
205	10521	40554
206	10624	40702
207	10736	40880
208	10788	40832
209	10814	40682
210	10839	40533
211	10869	40401
212	10895	40258
213	10921	40114
214	10944	39959
215	10970	39819
216	10992	39662
217	11015	39513
218	11037	39360
219	11053	39190
220	11075	39038
221	11095	38883
222	11116	38732
223	11135	38575
224	11159	38439
225	11181	38292
226	11201	38144
227	11224	38006
228	11248	37870
229	11270	37730
230	11289	37582
231	11309	37439
232	11327	37289
233	11347	37147
234	11366	37003
235	11404	36921
236	11485	36976
237	11562	37017
238	11646	37083
239	11712	37088
240	11782	37107
241	11859	37145
242	11928	37158
243	12002	37186
244	12055	37151
245	12116	37137
246	12191	37166
247	12258	37170
248	12340	37219
249	12425	37277
250	12572	37515
251	12712	37733
252	12851	37943
253	12979	38120
254	13070	38187
255	13174	38288
256	13290	38423
257	13364	38436
258	13413	38376
259	13456	38300
260	13510	38254
261	13586	38270
262	13671	38311
263	13724	38262
264	13768	38188
265	13803	38089
266	13842	38000
267	13893	37946
268	13923	37837
269	13967	37762
270	14001	37663
271	14039	37575
272	14078	37491
273	14117	37406
274	14160	37332
275	14203	37258
276	14234	37153
277	14271	37064
278	14318	37002
279	14382	36983
280	14437	36941
281	14478	36864
282	14517	36781
283	14559	36706
284	14596	36618
285	14656	36591
286	14711	36548
287	14752	36472
288	14812	36441
289	14853	36366
290	14902	36309
291	14953	36257
292	14970	36124
293	14983	35981
294	14998	35843
295	15018	35719
296	15061	35649
297	15113	35602
298	15196	35626
299	15260	35606
300	15315	35566
301	15358	35497
302	15415	35459
303	15477	35435
304	15540	35411
305	15604	35390
306	15646	35318
307	15666	35198
308	15679	35062
309	15692	34927
310	15706	34797
311	15721	34666
312	15735	34537
313	15751	34411
314	15765	34284
315	15779	34155
316	15793	34027
317	15816	33920
318	15842	33820
319	15855	33692
320	15867	33564
321	15884	33446
322	15903	33334
323	16119	33632
324	16161	33566
325	16190	33474
326	16225	33393
327	16264	33321
328	16294	33233
329	16335	33166
330	16370	33086
